supplier_id,order_id,promised_date,delivered_date
SYN-SUP-001,SYN-PO-1001,2026-01-10,2026-01-10
SYN-SUP-001,SYN-PO-1002,2026-01-14,2026-01-16
SYN-SUP-001,SYN-PO-1003,2026-01-20,2026-01-20
SYN-SUP-001,SYN-PO-1004,2026-01-25,2026-01-29
SYN-SUP-001,SYN-PO-1005,2026-02-02,2026-02-02
SYN-SUP-002,SYN-PO-2001,2026-01-12,2026-01-12
SYN-SUP-002,SYN-PO-2002,2026-01-18,2026-01-18
SYN-SUP-002,SYN-PO-2003,2026-01-24,2026-01-24
SYN-SUP-002,SYN-PO-2004,2026-02-01,2026-02-01
SYN-SUP-002,SYN-PO-2005,2026-02-08,2026-02-09
